StudentID,AcademicYear,ExtractedAt,ShortDescription,StaffReferral,ReferredByOther,SequenceNumber,IncidentDate,IncidentID,ExactTime,ApproximateTimeCode,SchoolOfIncidentCode,LocationCode,PossibleMotivationCode,WeaponTypeCode,Demerits,Initials,InstructionalSupportIndicator,Comment,IsSubstituteTeacherReferral,ViolationCode1,ViolationCode2,ViolationCode3,ViolationCode4,ViolationCode5,PreReferralInterventionCode1,PreReferralInterventionCode2,PreReferralInterventionCode3,UserCode1,UserCode2,UserCode3,UserCode4,UserCode5,UserCode6,UserCode7,UserCode8,Admin_StudentID,Admin_AssignedDays,Admin_AssignedHours,Admin_AssignedStartDate,Admin_AssignedEndDate,Admin_AssignedReturnDate,Admin_ReasonForDifferenceCode,Admin_DisciplinaryAssignmentSchoolCode,Admin_ActionDecisionDate,Admin_SequenceNumber,Admin_DispositionCode,Admin_Days,Admin_Hours,Admin_StartDate,Admin_EndDate,Admin_ReturnDate,Admin_ReturnStatusCode,Admin_ReturnLocationCode,Admin_ActionAuthorityCode,Admin_PlacementCode,Admin_ResultCode,Admin_SuspensionTagCode
43555,2024-2025,2026-02-22T00:22:26.146483,Inappropriate/hateful gesture,6094,,8,2023-11-16T00:00:00,24196,,,16,,,,0.0,NM,,Luca used the Heil Hitler salute towards a student of Jewish faith multiple times over a period of several days. This took place during break and lunch time outside in the lunch area. He will serve a one day suspension and read an ADL article about the historical context of the gesture. He is expected to complete the assignment upon his return on 11/27/23.,False,75,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,SUS,1.0,0.0,2023-11-16T00:00:00,2023-11-16T00:00:00,2023-11-27T00:00:00,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,Inappropriate/hateful gesture,6094,,8,2023-11-16T00:00:00,24196,,,16,,,,0.0,NM,,Luca used the Heil Hitler salute towards a student of Jewish faith multiple times over a period of several days. This took place during break and lunch time outside in the lunch area. He will serve a one day suspension and read an ADL article about the historical context of the gesture. He is expected to complete the assignment upon his return on 11/27/23.,False,75,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,2.0,REP,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,4579485,,7,2023-11-07T00:00:00,24172,,,16,,,,0.0,JP,,Luca was using his phone during school hours.,False,30,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,WAR,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,Referral to office for disrupting class,0,,6,2023-11-02T00:00:00,24077,,,16,,PA,,0.0,,,Luca was sent out of class from a sub in Ms. Gotham's class. He was talking loudly and put his head under the water fountain causing him to get wet. He will write an apology letter to the sub and serve one lunch detention on Friday 11/3/23.,False,00,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,DET-4,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,455,,5,2023-10-13T00:00:00,24021,,,16,,,,0.0,JP,,Repeated disrespectful and disruptive behavior with substitute. Receiving 2 lunch detentions,False,00,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,DET-4,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,0,,4,2023-10-11T13:32:27.543,0,,,16,,,,0.0,,,,False,,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,WAR,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,455,,3,2023-09-29T00:00:00,23826,,,16,,,,0.0,ed,,Luca was sent out of class by Ms. Dowd for hitting another student in the arm with a pencil. Created a disruption in class.,False,38,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,DET-4,1.0,0.0,2023-10-04T00:00:00,2023-10-04T00:00:00,2023-10-05T00:00:00,,,10,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,0,,2,2023-04-06T00:00:00,23334,,,16,,,,0.0,,,"Luca yelled ""FUCK YOU BEANERS!"" out the bus window at some Latino students as the school bus drove by them.  Luca was encouraged to do this by an older student, and said he didn't know what the word ""beaner"" means.  Luca will serve Friday school and complete a restorative project.  Contacted mom, mom agreed with consequences.",False,75,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,1.0,FS,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,0,,2,2023-04-06T00:00:00,23334,,,16,,,,0.0,,,"Luca yelled ""FUCK YOU BEANERS!"" out the bus window at some Latino students as the school bus drove by them.  Luca was encouraged to do this by an older student, and said he didn't know what the word ""beaner"" means.  Luca will serve Friday school and complete a restorative project.  Contacted mom, mom agreed with consequences.",False,75,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,2.0,PN,0.0,0.0,,,,,,,,,
43555,2024-2025,2026-02-22T00:22:26.146483,,0,,2,2023-04-06T00:00:00,23334,,,16,,,,0.0,,,"Luca yelled ""FUCK YOU BEANERS!"" out the bus window at some Latino students as the school bus drove by them.  Luca was encouraged to do this by an older student, and said he didn't know what the word ""beaner"" means.  Luca will serve Friday school and complete a restorative project.  Contacted mom, mom agreed with consequences.",False,75,,,,,,,,,,,,,,,,43555.0,0.0,0.0,,,,,0.0,,3.0,REP,0.0,0.0,,,,,,,,,
